Tiempo,Tension
0.000000000000000e+00,3.349713e-05
9.999999717180685e-10,9.856451e-03
1.012182689891316e-09,9.915819e-03
4.182076271537035e-09,9.793871e-03
7.351969853182753e-09,9.623683e-03
1.052186343482847e-08,9.405257e-03
1.369175701647419e-08,9.138592e-03
1.686165059811991e-08,8.823689e-03
2.003154417976563e-08,8.460546e-03
2.320143776141134e-08,8.049165e-03
3.200050293781882e-08,6.879544e-03
4.202296120045929e-08,5.494451e-03
5.525091778080875e-08,3.734735e-03
6.741741095400594e-08,2.307646e-03
8.145644842073502e-08,9.690427e-04
9.463834229596722e-08,2.805565e-05
1.094898388466932e-07,-6.873113e-04
1.255115784009903e-07,-1.122971e-03
1.517414013479596e-07,-1.416991e-03
1.725477429333077e-07,-1.457108e-03
1.928338070716329e-07,-1.415690e-03
2.165732284007206e-07,-1.376920e-03
2.409411512739862e-07,-1.386283e-03
2.723673737190655e-07,-1.460081e-03
3.135869410329334e-07,-1.589381e-03
3.238918328614004e-07,-1.616357e-03
3.857211838322021e-07,-1.674643e-03
6.216698601482204e-07,-1.631040e-03
7.585514515688212e-07,-1.548620e-03
1.006542733078280e-06,-1.292220e-03
1.282730112474801e-06,-8.713028e-04
1.507638351921156e-06,-4.071596e-04
1.732491662556935e-06,2.066197e-04
1.883096328488614e-06,8.310514e-04
2.008550354438629e-06,1.615211e-03
2.148745116974411e-06,2.662743e-03
2.240911072562308e-06,3.340828e-03
2.362787361477469e-06,4.174232e-03
2.557794891443407e-06,5.372094e-03
2.732665144003327e-06,6.306453e-03
2.746411756402575e-06,6.369816e-03
2.773904981201070e-06,6.482616e-03
2.828891430798062e-06,6.687353e-03
2.914989815630416e-06,6.953793e-03
3.042495088896111e-06,7.246787e-03
3.161994095574620e-06,7.417955e-03
3.283464403580081e-06,7.491621e-03
3.412402813736381e-06,7.486651e-03
3.535616171675089e-06,7.425882e-03
3.694138227629718e-06,7.312563e-03
3.868677303149034e-06,7.203550e-03
4.083749280849657e-06,7.165526e-03
4.320895153882189e-06,7.292433e-03
4.491346157050140e-06,7.521352e-03
4.614421377228186e-06,7.778510e-03
4.736431533326599e-06,8.104036e-03
4.859333355151789e-06,8.488742e-03
5.008746467705442e-06,9.013047e-03
5.209816158007761e-06,9.762962e-03
5.488846064383796e-06,1.079137e-02
5.775768274532010e-06,1.175959e-02
5.964879436364256e-06,1.230906e-02
6.099501179548526e-06,1.263736e-02
6.221271795887225e-06,1.288901e-02
6.355212533957751e-06,1.312624e-02
6.484936371939983e-06,1.332361e-02
6.668348948448797e-06,1.356872e-02
6.891483473818564e-06,1.385489e-02
7.194848808792881e-06,1.427201e-02
7.403062406030087e-06,1.460318e-02
7.550536716545702e-06,1.487611e-02
7.676679843541498e-06,1.513825e-02
7.804334212569021e-06,1.542750e-02
7.933831651304611e-06,1.574136e-02
8.065729165053993e-06,1.607872e-02
8.263907822277904e-06,1.660362e-02
8.499573629486172e-06,1.723219e-02
8.740287221673297e-06,1.786122e-02
8.899928329926696e-06,1.826052e-02
9.044114668508196e-06,1.860212e-02
9.183609453151562e-06,1.891558e-02
9.310183850923108e-06,1.918586e-02
9.440066263351034e-06,1.945058e-02
9.570398210436442e-06,1.970554e-02
9.745998453634162e-06,2.003823e-02
9.965298187679340e-06,2.044910e-02
1.029387345193485e-05,2.107241e-02
1.047314077410577e-05,2.142383e-02
1.061221242310307e-05,2.170745e-02
1.074347965340099e-05,2.198415e-02
1.086989310319488e-05,2.225830e-02
1.100514248058824e-05,2.255878e-02
1.113679561894853e-05,2.285720e-02
1.132482066616489e-05,2.328951e-02
1.154999751816834e-05,2.380882e-02
1.187494577824567e-05,2.455205e-02
1.206176174976226e-05,2.497170e-02
1.220370193366636e-05,2.528372e-02
1.233377284071653e-05,2.556438e-02
1.246141291619631e-05,2.583542e-02
1.259067173752273e-05,2.610611e-02
